season,week,team,vam_lost
2022,10,GB,19.0
2022,10,HOU,0.0
2022,10,IND,28.0
2022,10,KC,16.44000685616631
2022,10,LA,12.0
2022,10,LAC,99.92899347207198
2022,10,MIA,0.0
2022,10,MIN,10.0
2022,10,NO,9.0
2022,10,NYG,0.0
2022,10,PHI,8.0
2022,10,PIT,23.0
2022,10,SEA,0.0
2022,10,SF,23.0
2022,10,TB,9.49708630586398
2022,10,TEN,35.06227189977653
2022,10,WAS,27.93296741268872
2022,11,ARI,24.845380665053007
2022,11,ATL,0.0
2022,11,BAL,0.0
2022,11,BUF,16.0
2022,11,CAR,10.0
2022,11,CHI,9.723724297859011
2022,11,CIN,63.112498731918784
2022,11,CLE,0.0
2022,11,DEN,26.618957094852504
2022,11,DET,19.0
2022,11,GB,14.0
2022,11,HOU,0.0
2022,11,IND,10.0
2022,11,KC,0.0
2022,11,LA,3.0
2022,11,LAC,0.0
2022,11,MIN,5.0
2022,11,NE,3.0
2022,11,NO,62.0
2022,11,NYG,0.0
2022,11,NYJ,8.83653338713339
2022,11,PHI,0.0
2022,11,PIT,9.0
2022,11,SF,12.0
2022,11,TEN,25.06227189977653
2022,11,WAS,27.93296741268872
2022,12,ARI,26.184136280000914
2022,12,ATL,0.0
2022,12,BAL,0.0
2022,12,BUF,19.0
2022,12,CAR,8.0
2022,12,CHI,0.0
2022,12,CIN,0.0
2022,12,CLE,0.0
2022,12,DAL,23.0
2022,12,DEN,26.618957094852504
2022,12,DET,19.0
2022,12,GB,14.0
2022,12,HOU,0.0
2022,12,KC,10.286478622042189
2022,12,LA,126.69377016901977
2022,12,LAC,69.6682888225789
2022,12,MIA,1.5217217085883
2022,12,MIN,0.0
2022,12,NE,0.0
2022,12,NO,2.0
2022,12,NYG,3.0
2022,12,NYJ,8.83653338713339
2022,12,PIT,9.0
2022,12,SEA,4.679370071218139
2022,12,SF,12.0
2022,12,TB,16.81882218584492
2022,12,TEN,18.0
2022,12,WAS,12.0
2022,13,BAL,0.0
2022,13,BUF,21.0
2022,13,CHI,0.0
2022,13,CLE,21.001412802207245
2022,13,DEN,7.07608739298303
2022,13,DET,15.0
2022,13,GB,6.0
2022,13,HOU,25.33121595663331
2022,13,IND,16.0
2022,13,KC,10.286478622042189
2022,13,LA,159.69377016901979
2022,13,LAC,66.6682888225789
2022,13,LV,5.22088196395983
2022,13,MIA,0.0
2022,13,MIN,0.0
2022,13,NE,7.4439789493062705
2022,13,NO,31.5892221026784
2022,13,NYG,3.0
2022,13,NYJ,13.0
2022,13,PHI,58.0
2022,13,PIT,9.0
2022,13,SF,0.0
2022,13,TB,16.0
2022,13,TEN,23.0
2022,13,WAS,0.0
2022,14,ARI,16.33875561494791
2022,14,BAL,33.9518129823594
2022,14,BUF,6.0
2022,14,CIN,2.64730920143162
2022,14,DAL,11.0
2022,14,DEN,23.2087523705525
2022,14,DET,4.0
2022,14,HOU,25.33121595663331
2022,14,JAX,0.0
2022,14,LA,47.0
2022,14,LAC,24.0
2022,14,LV,10.22088196395983
2022,14,MIA,0.0
2022,14,MIN,0.0
2022,14,NE,29.24906025980998
2022,14,NYG,20.0
2022,14,PHI,0.0
2022,14,SF,102.48847945060136
2022,14,TB,14.0
2022,14,TEN,30.0
2022,15,ARI,26.0
2022,15,ATL,0.0
2022,15,BAL,33.9518129823594
2022,15,BUF,6.0
2022,15,CAR,0.0
2022,15,CHI,13.61145746926298
2022,15,CIN,46.64730920143162
2022,15,DAL,0.0
2022,15,DEN,42.331300426672115
2022,15,DET,6.0
2022,15,GB,0.0
2022,15,HOU,34.331215956633315
2022,15,IND,23.27714111151205
2022,15,LA,39.0
2022,15,LAC,16.0
2022,15,LV,2.0
2022,15,MIA,6.0
2022,15,NE,24.0618967613669
2022,15,NO,15.0
2022,15,NYG,3.0
2022,15,NYJ,8.375958937811477
2022,15,PHI,0.0
2022,15,PIT,0.0
2022,15,SF,182.6661491516208
2022,15,TB,21.0
2022,15,TEN,34.19691612860767
2022,15,WAS,0.0
2022,16,ARI,27.7275696811319
2022,16,ATL,0.0
2022,16,BAL,36.9518129823594
2022,16,BUF,5.0
2022,16,CHI,19.827452109894818
2022,16,CIN,17.0
2022,16,CLE,22.0
2022,16,DAL,5.0
2022,16,DEN,6.938430552327239
2022,16,DET,5.0
2022,16,GB,0.0
2022,16,HOU,0.0
2022,16,IND,20.28321402050258
2022,16,JAX,0.0
2022,16,KC,5.35171891207574
2022,16,LA,37.40855996189614
2022,16,LAC,0.0
2022,16,LV,2.0
2022,16,MIA,0.0
2022,16,MIN,1.50445499410853
2022,16,NE,24.0618967613669
2022,16,NO,0.0
2022,16,NYG,3.0
2022,16,NYJ,12.924490579863807
2022,16,PHI,57.0038061155781
2022,16,SEA,58.46692414515132
2022,16,SF,176.6661491516208
2022,16,TB,21.0
2022,16,TEN,76.9529543729706
2022,16,WAS,0.0
2022,17,ARI,12.7275696811319
2022,17,ATL,0.0
2022,17,BAL,33.9518129823594
2022,17,CAR,3.0
2022,17,DAL,5.0
2022,17,DEN,21.0
2022,17,DET,5.0
2022,17,HOU,0.0
2022,17,IND,26.59356764234306
2022,17,LA,34.40855996189614
2022,17,LAC,16.0
2022,17,MIA,15.89102967036478
2022,17,MIN,3.5044549941085297
2022,17,NE,24.0618967613669
2022,17,NO,2.0
2022,17,NYG,3.0
2022,17,NYJ,10.548531642052332
2022,17,PHI,66.37178481845947
2022,17,PIT,3.0
2022,17,SEA,10.63272781433369
2022,17,SF,176.6661491516208
2022,17,TB,8.0
2022,17,TEN,126.92003284508772
2022,17,WAS,5.0
2022,18,ARI,80.5819122483255
2022,18,ATL,0.0
2022,18,BAL,33.9518129823594
2022,18,CHI,0.0
2022,18,CLE,22.0
2022,18,DAL,5.0
2022,18,DEN,14.93843055232724
2022,18,DET,0.0
2022,18,HOU,0.0
2022,18,IND,9.806952490327927
